Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
,,,,तपः-,तपः-स्वाध्याय-निरतम्,"इतरेतर-द्वन्द्वः,1.2",तपः-
,,,,स्वाध्याय-,--,"सप्तमी-तत्पुरुषः,1.3",स्वाध्याय-
2.1.A,तपः-स्वाध्याय-निरतम्,तप एवं स्वाध्याय में संलग्न,Who is constantly engaged in penance and self-study,निरतम्,--,"विशेषणम्,5.1",निरत
,,,,तपस्वी,--,"विशेषणम्,7.1",तपस्वी
,,,,वाक्-,--,"उपपद-तत्पुरुषः,3.2",वाक्-
,,,,विदाम्,--,"निर्धारणम्,4.1",विदों_में
,,,,वरम्,--,"विशेषणम्,5.1",श्रेष्ठ
,तपस्वी,तपस्वी,One who performs penance,नारदम्,--,"कर्म,6.1",नारद_को
,,,,परिपप्रच्छ,--,"अभिहित_कर्ता,7.1;सकर्मक",पूछा
,,,,वाल्मीकिः,--,"कर्ता,6.1",वाल्मीकि_ने
,वाग्-विदाम्,शास्त्रज्ञों में,amongst wise men,मुनि-,--,"सप्तमी-तत्पुरुषः,8.2",मुनि-
,,,,पुङ्गवम्,--,"विशेषणम्,5.1",श्रेष्ठ
,,,,.,-,-,-
,,,,कः,कः,"कर्ता,7.1",कौन
,वरम्,श्रेष्ठ,greatest,नु,नु,"सम्बन्धः,1.1",नु
,,,,अस्मिन्,अस्मिन्,"विशेषणम्,5.1",इस
,,,,साम्प्रतम्,साम्प्रतम्,"कालाधिकरणम्,7.1",अब
2.2.A,नारदम्,देवर्षि नारद से,to the devine sage Narada,लोके,लोके,"अधिकरणम्,7.1",लोक_में
,,,,गुणवान्,गुणवान्,"विधेय_विशेषणम्,1.1",गुण_पुं
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,परि-पप्रच्छ,पूछा,asked,.,.,-,-
,,,,कः,कः,"कर्ता,10.1",कौन
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,वीर्यवान्,वीर्यवान्,"समुच्चितः,9.2",मजबूत
,वाल्मीकिः,महर्षि वाल्मीकि,sage named Valmiki,धर्म-,धर्म-ज्ञः,"उपपद-तत्पुरुषः,4.2",धर्म-
,,,,ज्ञः,--,"समुच्चितः,9.2",ज्ञ
,,,,च,च,"समुच्चय_द्योतकः,4.2",च2
,मुनि-पुङ्गवम्,मुनि-श्रेष्ठ,greatest among sages,कृत-,कृत-ज्ञः,"उपपद-तत्पुरुषः,6.2",
,,,,ज्ञः,--,"समुच्चितः,9.2",ज्ञ
,,,,च,च,"समुच्चय_द्योतकः,6.2",च2
,,,,सत्य-,सत्य-वाक्यः,"बहुव्रीहिः,8.2",सत्य-
,1,1,1,वाक्यः,--,"समुच्चितः,9.2",वाक्य
,,,,दृढ-,दृढ-व्रतः,"बहुव्रीहिः,9.2",दृढ-
,,,,व्रतः,--,"विधेय_विशेषणम्,1.1",व्रत
3.1.A,कः,कौन,who,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,चारित्रेण,चारित्रेण,"सहार्थः,4.1",चारित्र_से
,नु,नु,But,च,च,"सम्बन्धः,1.1",च1
,,,,कः,कः,"कर्ता,5.1",कौन
,,,,युक्तः,युक्तः,"विधेय_विशेषणम्,3.1",युक्त
,अस्मिन्,इस,in this,(अस्ति),(अस्ति),"अभिहित_कर्ता,4.1",है
,,,,.,.,-,-
,,,,सर्व-,सर्व-भूतेषु,"कर्मधारयः,1.2",सर्व-
,साम्प्रतम्,इस समय,now,भूतेषु,--,"अधिकरणम्,4.1",प्राणियों_में
,,,,कः,कः,"कर्ता,4.1",कौन
,,,,हितः,हितः,"विधेय_विशेषणम्,2.1",हित
,लोके,लोक में,world,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,,,,.,.,-,-
,,,,विद्वान्,विद्वान्,"विधेय_विशेषणम्,2.1",विद्वान्
,गुणवान्,प्रशस्त गुणों से युक्त,associated with virtues,कः,कः,"कर्ता,3.1",कौन
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,,,,.,.,-,-
,कः,कौन,who,कः,कः,"कर्ता,4.1",कौन
,,,,समर्थः,समर्थः,"विधेय_विशेषणम्,1.1",समर्थ
,,,,च,च,"सम्बन्धः,2.1",च1
,च,भी,too,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,,,,कः,कः,"कर्ता,4.1",कौन
,वीर्यवान्,पराक्रम सम्पन्न,possessed of prowess,च,च,"सम्बन्धः,1.1",च1
,,,,एक-,एक-प्रिय-दर्शनः,"षष्ठी_बहुव्रीहिः,3.2",एक-
,,,,प्रिय-,--,"कर्मधारयः,3.3",प्रिय-
3.2.A,धर्मज्ञः,धर्म के ज्ञाता,knower of duties,दर्शनः,--,"विधेय_विशेषणम्,1.1",दर्शन
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,च,भी,too,आत्मवान्,आत्मवान्,"विधेय_विशेषणम्,2.1",आत्मन्-वाला
,,,,कः,कः,"कर्ता,3.1",कौन
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,2.1",है
,कृतज्ञः,दूसरों के उपकार को याद रखने वाला,conscious of service done by others,.,.,-,-
,,,,जित-,जित-क्रोधः,"बहुव्रीहिः,1.2",जित
,,,,क्रोधः,--,"समुच्चितः,2.1",क्रोध
,च,भी,too,द्युतिमान्,द्युतिमान्,"विधेय_विशेषणम्,4.1",द्युति_वाला
,,,,(च),(च),"समुच्चय_द्योतकः,2.1",च2
,,,,(कः),(कः),"कर्ता,5.1",कौन
,सत्य-वाक्यः,सदा ही सत्य बोलने वाला,one who always speaks truth,(अस्ति),(अस्ति),"अभिहित_कर्ता,4.1",है
,,,,.,.,-,-
,,,,कः,कः,"कर्ता,4.1",कौन
,,,,अन्-,अन्-असूयकः,"नञ्-तत्पुरुषः,2.2",अन्-
,दृढ-व्रतः,दृढ संकल्प वाला,determined,असूयकः,--,"विधेय_विशेषणम्,1.1",असूयक
,,,,(च),(च),"सम्बन्धः,2.2",च1
,,,,(अस्ति),(अस्ति),"अभिहित_कर्ता,1.1",है
,,,,.,.,-,-
,2,2,2,कस्य,कस्य,"सम्बन्धः,3.1",किसके
,,,,बिभ्यति,बिभ्यति,-,डरते_हैं
,,,,देवाः,देवाः,"कर्ता,2.1",देव
4.1.A,चारित्रेण,चारित्र्य से,right conduct,च,च,"सम्बन्धः,3.1",च1
,,,,जात-,जात-रोषस्य,"बहुव्रीहिः,5.2",
,,,,रोषस्य,--,"षष्ठीसम्बन्धः,6.1",क्रोध_के
,च,भी,too,संयुगे,संयुगे,"अधिकरणम्,2.1",संयोजन_में
,,,,.,.,-,-
,,,,एतत्,एतद्,"कर्म,4.1",यह
