chp no,sloka no,sent no,word,sandhied_word,morph_analysis,morph_in_context,kaaraka_sambandha,hindi_meaning,english_meaning,samAsa,prayoga,sarvanAma,name_classification,graph,anvaya_no,bgcolor,poem
1,1,1,तपः-,तपः-स्वाध्याय-निरतम्,तपस्,तपस्,"इतरेतर-द्वन्द्वः,1.2",तपः-,-,-,-,-,-,assets/graphs/01_001_1.jpg,1.1,#FFFF00,-
1,1,1,स्वाध्याय-,--,स्वाध्याय,स्वाध्याय,"सप्तमी-तत्पुरुषः,1.3",स्वाध्याय-,-,-,-,-,-,assets/graphs/01_001_1.jpg,1.2,#FFFF00,-
1,1,1,निरतम्,--,निरत{पुं;2;एक(नि_रम्1;क्त;भ्वादिः)}/निरत{नपुं;1;एक(नि_रम्1;क्त;भ्वादिः)}/निरत{नपुं;2;एक(नि_रम्1;क्त;भ्वादिः)},निरत{पुं;2;एक(नि_रम्1;क्त;भ्वादिः)},"विशेषणम्,5.1",निरत,-,-,-,-,-,assets/graphs/01_001_1.jpg,1.3,#93DB70,-
1,1,1,तपस्वी,--,तपस्विन्{पुं;1;एक},तपस्विन्{पुं;1;एक},"विशेषणम्,7.1",तपस्वी,-,-,-,-,-,assets/graphs/01_001_1.jpg,2.1,#00BFFF,-
1,1,1,वाक्-,--,वाच्,वाच्,"उपपद-तत्पुरुषः,3.2",वाक्-,-,-,-,-,-,assets/graphs/01_001_1.jpg,3.1,#FFFF00,-
1,1,1,विदाम्,--,विद्{पुं;6;बहु}/विद्{नपुं;6;बहु}/विद्{स्त्री;6;बहु}/विदा{स्त्री;2;एक},विद्{पुं;6;बहु},"निर्धारणम्,4.1",विदों_में,-,-,-,-,-,assets/graphs/01_001_1.jpg,3.2,#87CEEB,-
1,1,1,वरम्,--,वरम्{अव्य}/वर{पुं;2;एक}/वर{नपुं;1;एक}/वर{नपुं;2;एक},वर{पुं;2;एक},"विशेषणम्,5.1",श्रेष्ठ,-,-,-,-,-,assets/graphs/01_001_1.jpg,4.1,#93DB70,-
1,1,1,नारदम्,--,नारद{पुं;2;एक},नारद{पुं;2;एक},"कर्म,6.1",नारद_को,-,-,-,-,-,assets/graphs/01_001_1.jpg,5.1,#93DB70,-
1,1,1,परिपप्रच्छ,--,परि_प्रछ्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः}/परि_प्रछ्1{कर्तरि{लिट्;म;बहु;परस्मैपदी;तुदादिः}/परि_प्रछ्1{कर्तरि{लिट्;उ;एक;परस्मैपदी;तुदादिः},परि_प्रछ्1{कर्तरि;लिट्;प्र;एक;परस्मैपदी;तुदादिः},"अभिहित_कर्ता,7.1;सकर्मक",पूछा,-,-,-,-,-,assets/graphs/01_001_1.jpg,6.1,#FF1975,-
1,1,1,वाल्मीकिः,--,वाल्मीकि{पुं;1;एक},वाल्मीकि{पुं;1;एक},"कर्ता,6.1",वाल्मीकि_ने,-,-,-,-,-,assets/graphs/01_001_1.jpg,7.1,#00BFFF,-
1,1,1,मुनि-,--,मुनि,मुनि,"सप्तमी-तत्पुरुषः,8.2",मुनि-,-,-,-,-,-,assets/graphs/01_001_1.jpg,8.1,#FFFF00,-
1,1,1,पुङ्गवम्,--,पुङ्गव{पुं;2;एक},पुङ्गव{पुं;2;एक},"विशेषणम्,5.1",श्रेष्ठ,-,-,-,-,-,assets/graphs/01_001_1.jpg,8.2,#93DB70,-
1,1,1,.,-,-,-,-,-,-,-,-,-,-,assets/graphs/01_001_1.jpg,9.1,,-
1,2,1,कः,कः,किम्{सर्वनाम;पुं;1;एक},किम्{सर्वनाम;पुं;1;एक},"कर्ता,7.1",कौन,-,-,-,-,-,assets/graphs/01_002_1.jpg,1.1,#00BFFF,-
1,2,1,नु,नु,नु{अव्य},नु{अव्य},"सम्बन्धः,1.1",नु,-,-,-,-,-,assets/graphs/01_002_1.jpg,2.1,#FF99FF,-
1,2,1,अस्मिन्,अस्मिन्,इदम्{सर्वनाम;पुं;7;एक}/इदम्{सर्वनाम;नपुं;7;एक},इदम्{सर्वनाम;पुं;7;एक},"विशेषणम्,5.1",इस,-,-,-,-,-,assets/graphs/01_002_1.jpg,3.1,#C6E2EB,-
1,2,1,साम्प्रतम्,साम्प्रतम्,साम्प्रतम्{अव्य},साम्प्रतम्{अव्य},"कालाधिकरणम्,7.1",अब,-,-,-,-,-,assets/graphs/01_002_1.jpg,4.1,#FF99FF,-
1,2,1,लोके,लोके,लोक्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;भ्वादिः}/लोक{पुं;7;एक},लोक{पुं;7;एक},"अधिकरणम्,7.1",लोक_में,-,-,-,-,-,assets/graphs/01_002_1.jpg,5.1,#C6E2EB,-
1,2,1,गुणवान्,गुणवान्,गुण{मतुप्;पुं;1;एक},गुण{मतुप्;पुं;1;एक},"विधेय_विशेषणम्,1.1",गुण_पुं,-,-,-,-,-,assets/graphs/01_002_1.jpg,6.1,#00BFFF,-
1,2,1,(अस्ति),(अस्ति),अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः},"अभिहित_कर्ता,1.1",है,-,-,-,-,-,assets/graphs/01_002_1.jpg,7.1,#FF1975,-
1,2,1,.,.,-,-,-,-,-,-,-,-,-,assets/graphs/01_002_1.jpg,8.1,,-
